accountNumber,accountName,address1,address2,city,country,zipCode,state,countryCode,parentAccount
SCHNEIDER_M,SCHNEIDER ELECTRIC MASTER,1 BOSTON PL STE 2700,,BOSTON,UNITED STATES,2108,MA,US,
1000641721,SCHNEIDER ELECTRIC,1 BOSTON PL STE 2700,,BOSTON,UNITED STATES,2108,MA,US,SCHNEIDER_M
URBAN OUTFITTERS_M,URBAN OUTFITTERS MASTER,5000 SOUTH BROAD ST,,PHILADELPHIA,UNITED STATES,19112,PA,US,
1000513906,URBAN OUTFITTERS,5000 SOUTH BROAD ST,,PHILADELPHIA,UNITED STATES,19112,PA,US,URBAN OUTFITTERS_M
VALARIS_M,VALARIS LIMITED MASTER,5847 SAN FELIPE ST,,HOUSTON,UNITED STATES,77057,TX,US,
1000594441,VALARIS LIMITED,5847 SAN FELIPE ST,,HOUSTON,UNITED STATES,77057,TX,US,VALARIS_M
WILLIAMS SONOMA_M,WILLIAMS SONOMA MASTER,3250 VAN NESS AVENUE,,SAN FRANCISCO,UNITED STATES,94109,CA,US,
1000599551,"WILLIAMS SONOMA, INC",3250 VAN NESS AVENUE,,SAN FRANCISCO,UNITED STATES,94109,CA,US,WILLIAMS SONOMA_M
YOKOHAMA_M,YOKOHAMA MASTER,"201 EDGEWATER DRIVE,SUITE 285",,WAKEFIELD,UNITED STATES,1880,MA,US,
1000651337,YOKOHAMA OFF-HIGHWAY TIRES AMERICA INC,"201 EDGEWATER DRIVE,SUITE 285",,WAKEFIELD,UNITED STATES,1880,MA,US,YOKOHAMA_M
