accountNumber,accountName,address1,address2,city,country,zipCode,state,countryCode,parentAccount
APOLLO_M,APOLLO MASTER,1175 PEACHTREE STREET NE,10TH FL,ATLANTA,UNITED STATES,30361,GA,US,
1000511921,APOLLO EXPORT WAREHOUSE,6950 NW 77TH COURT,SUITE 5&6,MIAMI,UNITED STATES,33166,FL,US,APOLLO_M
1000494374,APOLLO INTERNATIONAL FORWARDERS INC,2455 EAST SUNRISE BLVD,SUITE 801,FORT LAUDERDALE,UNITED STATES,33304,FL,US,APOLLO_M
1000242889,APOLLO METRO SOLUTIONS INC,2675 HORSESHOE DR S,STE 401,NAPLES,UNITED STATES,34104,FL,US,APOLLO_M
1000259220,APOLLO VREDESTEIN TIRES INC,1175 PEACHTREE STREET NE,10TH FL,ATLANTA,UNITED STATES,30361,GA,US,APOLLO_M
BAKERLY_M,BAKERLY LLC MASTER,4300 BRADEN BLVD E,,EASTON,UNITED STATES,18040,PA,US,
1000588438,BAKERLY LLC,4300 BRADEN BLVD E,,EASTON,UNITED STATES,18040,PA,US,BAKERLY_M
BLUE MOOSE CLOTHING_M,BLUE MOOSE CLOTHING MASTER,MANITOBAH MUKLUKS,100 90 SUTHERLAND AVE,WINNIPEG,CANADA,R2W 3C7,MB,CA,
1000649825,BLUE MOOSE CLOTHING CO LTD,MANITOBAH MUKLUKS,100 90 SUTHERLAND AVE,WINNIPEG,CANADA,R2W 3C7,MB,CA,BLUE MOOSE CLOTHING_M
1000332956,CATERPILLAR NEWBERRY LLC,40 MAWSONS WAY,,NEWBERRY,UNITED STATES,29108,SC,US,CAT_M
WALMART_M,CMA-CGM/WALMART MASTER,5701 LAKE WRIGHT DRIVE,,NORFOLK,UNITED STATES,23502,VA,US,
1000505504,CMA-CGM/WALMART,5701 LAKE WRIGHT DRIVE,,NORFOLK,UNITED STATES,23502,VA,US,WALMART_M
DAMCO_M,DAMCO DISTRIBUTION SERVICES MASTER,180 PARK AVENUE,BLDG 105,FLORHAM PARK,UNITED STATES,7932,NJ,US,
1000551722,DAMCO DISTRIBUTION SERVICES INC,180 PARK AVENUE,BLDG 105,FLORHAM PARK,UNITED STATES,7932,NJ,US,DAMCO_M
DANBY PRODUCT_M,DANBY PRODUCTS MASTER,P.O. BOX 669 1800 PRODUCTION DRIVE,,FINDLAY,UNITED STATES,45840,OH,US,
1000444471,DANBY PRODUCTS INC.,P.O. BOX 669 1800 PRODUCTION DRIVE,,FINDLAY,UNITED STATES,45840,OH,US,DANBY PRODUCT_M
FERGUSON_M,FERGUSON ENTERPRISE MASTER,12500 JEFFERSON AVENUE,,NEWPORT NEWS,UNITED STATES,23602,VA,US,
1000373306,FERGUSON ENTERPRISE LLC,12500 JEFFERSON AVENUE,,NEWPORT NEWS,UNITED STATES,23602,VA,US,FERGUSON_M
FUJITSU_M,FUJITSU_MASTER,2801 TELECOM PKY,RICHARDSON TX 75082,RICHARDSON,UNITED STATES,75082,TX,US,
1000575922,HP INC,1209 ORANGE STREET,,WILMINGTON,UNITED STATES,19801,DE,US,HP_M
KLA_M,KLA MASTER,41707 CHRISTY ST,,FREMONT,UNITED STATES,94538,CA,US,
1000513485,KLA,41707 CHRISTY ST,,FREMONT,UNITED STATES,94538,CA,US,KLA_M
1000461659,LOCKHEED MARTIN SPACE,1111 LOCKHEED MARTIN WAY,,SUNNYVALE,UNITED STATES,94089,CA,US,LOCKHEED_M
MORPHE_M,MORPHE MASTER,22 FOURTH STREET 4TH FLOOR,,SAN FRANCISCO,UNITED STATES,94103,CA,US,
1000415516,MORPHE LLC,22 FOURTH STREET 4TH FLOOR,,SAN FRANCISCO,UNITED STATES,94103,CA,US,MORPHE_M
MUNCHKIN_M,MUNCHKIN MASTER,27334 SAN BERNARDINO AVE,,REDLANDS,UNITED STATES,92374,CA,US,
1000514552,MUNCHKIN INC,27334 SAN BERNARDINO AVE,,REDLANDS,UNITED STATES,92374,CA,US,MUNCHKIN_M
SCHNEIDER_M,SCHNEIDER ELECTRIC MASTER,1 BOSTON PL STE 2700,,BOSTON,UNITED STATES,2108,MA,US,
1000641721,SCHNEIDER ELECTRIC,1 BOSTON PL STE 2700,,BOSTON,UNITED STATES,2108,MA,US,SCHNEIDER_M
1000652963,ULTIUM CELLS LLC,301 DONALD F EPHLIN PKWY,,SPRING HILL,UNITED STATES,37174,TN,US,GENERALMOTORS_M
1000640163,ULTIUM CELLS LLC,7400 TOD AVE. SW,ULTIUM DIRECT MATERIALS BILLING,WARREN,UNITED STATES,44481,OH,US,GENERALMOTORS_M
URBAN OUTFITTERS_M,URBAN OUTFITTERS MASTER,5000 SOUTH BROAD ST,,PHILADELPHIA,UNITED STATES,19112,PA,US,
1000513906,URBAN OUTFITTERS,5000 SOUTH BROAD ST,,PHILADELPHIA,UNITED STATES,19112,PA,US,URBAN OUTFITTERS_M
WILLIAMS SONOMA_M,WILLIAMS SONOMA MASTER,3250 VAN NESS AVENUE,,SAN FRANCISCO,UNITED STATES,94109,CA,US,
1000599551,"WILLIAMS SONOMA, INC",3250 VAN NESS AVENUE,,SAN FRANCISCO,UNITED STATES,94109,CA,US,WILLIAMS SONOMA_M
